CodigoMunicipio,NombreMunicipio
070000160006,Apatzingán
070000160007,Aporo
070000160008,Aquila
070000160009,Ario
070000160010,Arteaga
070000160011,Briseñas
070000160012,Buenavista
070000160013,Carácuaro
070000160014,Coahuayana
070000160015,Coalcomán de Vázquez Pallares
070000160016,Coeneo
070000160017,Contepec
070000160018,Copándaro
070000160019,Cotija
070000160020,Cuitzeo
070000160021,Charapan
070000160022,Charo
070000160023,Chavinda
070000160024,Cherán
070000160025,Chilchota
070000160026,Chinicuila
070000160027,Chucándiro
070000160028,Churintzio
070000160029,Churumuco
070000160030,Ecuandureo
070000160031,Epitacio Huerta
070000160032,Erongarícuaro
070000160033,Gabriel Zamora
070000160034,Hidalgo
070000160035,La Huacana
070000160036,Huandacareo
070000160037,Huaniqueo
070000160038,Huetamo
070000160039,Huiramba
070000160040,Indaparapeo
070000160041,Irimbo
070000160042,Ixtlán
070000160043,Jacona
070000160044,Jiménez
070000160045,Jiquilpan
070000160046,Juárez
070000160047,Jungapeo
070000160048,Lagunillas
070000160049,Madero
070000160050,Maravatío
070000160051,Marcos Castellanos
070000160052,Lázaro Cárdenas
070000160053,Morelia
070000160054,Morelos
070000160055,Múgica
070000160056,Nahuatzen
070000160057,Nocupétaro
070000160058,Nuevo Parangaricutiro
070000160059,Nuevo Urecho
070000160060,Numarán
070000160061,Ocampo
070000160062,Pajacuarán
070000160063,Panindícuaro
070000160064,Parácuaro
070000160065,Paracho
070000160066,Pátzcuaro
070000160067,Penjamillo
070000160068,Peribán
070000160069,La Piedad
070000160070,Purépero
070000160071,Puruándiro
070000160072,Queréndaro
070000160073,Quiroga
070000160074,Cojumatlán de Régules
070000160075,Los Reyes
070000160076,Sahuayo
070000160077,San Lucas
070000160078,Santa Ana Maya
070000160079,Salvador Escalante
070000160080,Senguio
070000160081,Susupuato
070000160082,Tacámbaro
070000160083,Tancítaro
070000160084,Tangamandapio
070000160085,Tangancícuaro
070000160086,Tanhuato
070000160087,Taretan
070000160088,Tarímbaro
070000160089,Tepalcatepec
070000160090,Tingambato
070000160091,Tingüindín
070000160092,Tiquicheo de Nicolás Romero
070000160093,Tlalpujahua
070000160094,Tlazazalca
070000160095,Tocumbo
070000160096,Tumbiscatío
070000160097,Turicato
070000160098,Tuxpan
070000160099,Tuzantla
070000160100,Tzintzuntzan
070000160101,Tzitzio
070000160102,Uruapan
070000160103,Venustiano Carranza
070000160104,Villamar
070000160105,Vista Hermosa
070000160106,Yurécuaro
070000160107,Zacapu
070000160108,Zamora
070000160109,Zináparo
070000160110,Zinapécuaro
070000160111,Ziracuaretiro
070000160112,Zitácuaro
070000160113,José Sixto Verduzco
070000160996,No especificado
070000160997,Otros estados
070000160998,Otros municipios
070000160999,Resto de municipios
07000017,Morelos
070000170001,Amacuzac
070000170002,Atlatlahucan
070000170003,Axochiapan
070000170004,Ayala
070000170005,Coatlán del Río
070000170006,Cuautla
070000170007,Cuernavaca
070000170008,Emiliano Zapata
070000170009,Huitzilac
070000170010,Jantetelco
070000170011,Jiutepec
070000170012,Jojutla
070000170013,Jonacatepec de Leandro Valle
070000170014,Mazatepec
070000170015,Miacatlán
070000170016,Ocuituco
070000170017,Puente de Ixtla
070000170018,Temixco
070000170019,Tepalcingo
070000170020,Tepoztlán
070000170021,Tetecala
070000170022,Tetela del Volcán
070000170023,Tlalnepantla
070000170024,Tlaltizapán de Zapata
070000170025,Tlaquiltenango
070000170026,Tlayacapan
070000170027,Totolapan
070000170028,Xochitepec
070000170029,Yautepec
070000170030,Yecapixtla
070000170031,Zacatepec
070000170032,Zacualpan de Amilpas
070000170033,Temoac
070000170034,Coatetelco
070000170035,Xoxocotla
070000170036,Hueyapan
070000170996,No especificado
070000170997,Otros estados
070000170998,Otros municipios
070000170999,Resto de municipios
07000018,Nayarit
070000180001,Acaponeta
070000180002,Ahuacatlán
070000180003,Amatlán de Cañas
070000180004,Compostela
070000180005,Huajicori
070000180006,Ixtlán del Río
070000180007,Jala
070000180008,Xalisco
070000180009,Del Nayar
070000180010,Rosamorada
070000180011,Ruíz
070000180012,San Blas
070000180013,San Pedro Lagunillas
070000180014,Santa María del Oro
070000180015,Santiago Ixcuintla
070000180016,Tecuala
070000180017,Tepic
070000180018,Tuxpan
070000180019,La Yesca
070000180020,Bahía de Banderas
070000180996,No especificado
070000180997,Otros estados
07000019,Nuevo León
070000190001,Abasolo
070000190002,Agualeguas
070000190003,Los Aldamas
070000190004,Allende
070000190005,Anáhuac
070000190006,Apodaca
070000190007,Aramberri
070000190008,Bustamante
070000190009,Cadereyta Jiménez
070000190010,El Carmen
070000190011,Cerralvo
070000190012,Ciénega de Flores
070000190013,China
070000190014,Doctor Arroyo
070000190015,Doctor Coss
070000190016,Doctor González
070000190017,Galeana
070000190018,García
070000190019,San Pedro Garza García
070000190020,General Bravo
070000190021,General Escobedo
070000190022,General Terán
070000190023,General Treviño
070000190024,General Zaragoza
070000190025,General Zuazua
070000190026,Guadalupe
070000190027,Los Herreras
070000190028,Higueras
070000190029,Hualahuises
070000190030,Iturbide
070000190031,Juárez
070000190032,Lampazos de Naranjo
070000190033,Linares
